id,subject,body,channel,district,complaint_history,label
G106686,Maternity ward staffing at night,"Namaskar, The primary health centre in Sundarnagar has had no regular doctor since last week. A nurse handles everything and serious cases are told to travel 40 km. Our ration shop works fine, this is a different matter. Our ration shop works fine, this is a different matter. We are suffering a lot.",facebook,Krishnapura,first_time,healthcare|high
G105361,Nobody is listening to us,"Respected sir, The government hospital pharmacy says BP and diabtees medicines are out of stock since the rains started. Poor patients are skipping doses because private prices are unaffordable. Unlike the power cuts hwich stopped, this issue continues. Kindly do the needful.",whatsapp,Rampura,repeat_complaint,healthcare|high
G101858,Chain snatching incidents in the lake road side,"After dark there is drinking and loud fights near the bus shelter in ward 11. We request a patrol round at night at least on weekends. The gambling den behind the market in Devgiri runs till late and young boys from our colony have started going there. Requesting it be shut down. Our ration shop works fine, this is a different matter. Please treat this as top priority.",helpline_call,Chandpur,first_time,law_and_order|routine
G100501,Canal water not reaching tail-end farms,"Sir namaskara, The soil-testing van that was to visit Devgiri never came, and the support price centre opens late each season. Requesting both be scheduled properly this year. The previous complaint number I was given never got a response. Many of us voted with a lot of hope last time. We are suffering a lot. Namma colony jana kayta iddare.",facebook,Ambalpet,repeat_complaint,agriculture_irrigation|routine
G104210,Housing scheme installment not released,"We applied for a new ration card after our family split and the application has been pending for six months. Requesting status and the pending document list, if any. We are suffering a lot. Namma colony jana kayta iddare.",whatsapp,Devgiri,first_time,welfare_schemes|routine
G100889,No bus service to our village,"Pranam sir, Every monsoon the same stretch in ward 11 becomes impossible to cross, and this year it has already caused two accidents. The contractor vanished midway. Please take immediate action. Jaldi se jaldi madad kijiye sir.",helpline_call,Devgiri,repeat_complaint,roads_transport|high
G106127,Road dug up and left open for six months,"Sir ji, School vans have stopped entering Gandhi colony entirely. Parents now walk children 2 km because no vehicle can pass the stretch after the pipeline work. If nothing happens we will raise it in the gram sabha again. jaldi kariye us. Hum garib logon ki koi nahi sunta.",facebook,Krishnapura,repeat_complaint,roads_transport|high
G103334,"Transformer burnt since the festival, no repalcement","Namaskar, This month's bills are three to four times the usual amount for every house in our lane. The meter reader never actually visits; readings are invented. Please audit and correct. We are not asking about the pension, that is coming properly. Kripya dhyan dijiye, bahut urgent hai.",janata_darshan,Rampura,first_time,electricity|routine
G103255,Police not registering our complaint,"Namaste, There have been three chain-snatching incidents in Ashraya layout for three days now. Elderly women have stopped morning walks. Patrolling has not increased despite complaints. People say the hospital got new equipment, but our issue remains. This is very urgent.",whatsapp,Rampura,first_time,law_and_order|high
G105648,Name missing from beneficiary list,"Sir namaste, I want to add my newborn daughter's name to our ration card and seed aadhaar for the scholarship. The portal keeps failing at the OTP step. Last time they acted only after someone nearly died, must it come to that? Please escalate to higher officials. Jaldi se jaldi madad kijiye sir.",janata_darshan,Ambalpet,first_time,welfare_schemes|routine
G104502,Kindly look into this,"My mother's old-age pension stopped coming for six months with no notice. It is her only income and she lives alone. the local corporator says ""verification issue"" but cannot say what document is missing. The road in front was repaired last year so at least that is fine. Please escalate to higher officials.",field_visit,Krishnapura,first_time,welfare_schemes|high
G106276,Widow pension rejected wrongly,"Sir namaskara, Our names were on the list at the municipal office last year, but this month the dealer says our numbers no longer show in his machine. Ten families are affected in MG layout. Everything is urgent for officials only when TV cameras come. Tumba tondare aagide, bega action togoli.",helpline_call,Krishnapura,first_time,welfare_schemes|high
G103562,Road dug up and left open since the rains started,"Namaste, The main road through the old market area in Ambalpet is full of potholes since yesterday. Two-wheeler riders are falling daily and the ward member keeps saying the tender is pending. The road in front was repaired last year so at least that is fine. Hoping for quick action.",facebook,Devgiri,repeat_complaint,roads_transport|high
G103910,Long pending issue,"There have been four chain-snatching incidents in the old market area for six months. Elderly women have stopped belagge walks. Patrolling has not increased despite complaints. Lorries carrying illegally mined sand thunder through our village between midnight and 4 am, shaking the houses. Everyone knows who runs it; no one dares to speak. janaru say the aspatre got new equipment, but our issue remains. The whole colony is waiting. Daya vittu sahaya madi sir.",helpline_call,Chandpur,repeat_complaint,law_and_order|high
G100489,Potholes on the main road of ward 4,"Sir namaskara, Every monsoon the same stretch in MG layout becomes impossible to cross, and this year it has already caused two accidents. The contractor vanished midway. Every monsoon the same stretch in the lake raste side becomes impossible to cross, and this year it has already caused two accidents. The contractor vanished midway. The whole colony is waiting. Namma colony jana kayta iddare.",facebook,Rampura,repeat_complaint,roads_transport|high
G105181,Long pending issue,"Respected sir, Our flour mill and the tailor shops in ward 11 sit idle half the day because supply comes and goes without any schedule. Diesel for the generator is eating all profit. If nothing happens we will raise it in the gram sabha again.",facebook,Kotehalli,first_time,electricity|high
G102720,Ration card application pending for hte past month,"Respected sir, The ration for our lane's ten labour families has been stopped for two months over some ""server issue"", and this month there is genuinely nothing to cook in several houses. Old people are eating one meal a day. This cannot wait for the next camp. Please escalate to higher officials.",facebook,Ambalpet,repeat_complaint,welfare_schemes|critical
G104006,Request for immediate action,"Sir ji, I want to add my newborn daughter's name to our ration card and seed aadhaar for the scholarship. The portal keeps failing at the OTP step. Please treat this as top priority.",janata_darshan,Krishnapura,repeat_complaint,welfare_schemes|routine
G104054,Sand lorries running at night,"Namaste, The men gathering near the college gate followed two girls to their homes yesterday shouting threats. Parents are keeping daughters home from classes starting today. This needs police presence this evening, not next week. Our neighbour has openly threatened to burn our shop tonight over a land dispute, and the station is refusing to note it down, calling it a ""family matter"". If something happens tonight the responsibility is on record now. This is very urgent.",whatsapp,Devgiri,first_time,law_and_order|critical
G102110,No response from officials,"Sir namaskara, Lorries carrying ilelgally mined sand thunder through our halli between midnight and 4 am, shaking the houses. Everyone knows who runs it; no one dares to speak. If nothing happens we will raise it in the gram sabha again. Hoping for quick action. Daya vittu saahya madi sir.",helpline_call,Devgiri,repeat_complaint,law_and_order|high
G106000,Power cuts of 6+ hours daily in Devgiri,"Hello, Street lights in ward 11 have not been working for the past month. We request replacement of the fused lights before the festival season. Our ration shop works fine, this is a different matter. Please help us.",field_visit,Sundarnagar,first_time,electricity|routine
G100167,Complaint from residents,"Sir/Madam, I want to add my newborn daughter's name to our ration card and seed aadhaar for the scholarship. The portal keeps failing at the OTP step. I want to add my newborn daughter's name to our ration card and seed aadhaar for the scholarship. The portal keeps failing at the OTP step. We are not asking about the pension, that is coming properly. Please help us.",facebook,Chandpur,first_time,welfare_schemes|routine
G101529,Medicines out of stock at government hospital,"Sir/Madam, We request a monthly specialist visit to the PHC in Krishnapura. Elderly patients travel two buses for a five-minute consultation now. The hospital ward toilets are in bad condition and attendants are forced to go outside. Requesting maintenance staff be assigned. Please treat this as top priority.",whatsapp,Kotehalli,repeat_complaint,healthcare|routine
G101547,Please help our colony,"Namaste, Pregnant women from MG layout are being turned away at night because nobody senior is on duty. Two deliveries happened in autos on the way to the district centre this month. A tragedy is waiting. The MLA promised action on this before the elections but nothing happened. Please take immediate action.",field_visit,Devgiri,first_time,healthcare|critical
G105764,No response from officials,"Sir/Madam, The ration for our lane's ten labour families has been stopped for two months over some ""server issue"", and this month there is genuinely nothing to cook in several houses. Old people are eating one meal a day. This cannot wait for the next camp. We are not asking about the pension, that is coming properly. Everything is urgent for officials only when TV cameras come. We are suffering a lot.",helpline_call,Malligere,repeat_complaint,welfare_schemes|critical
G101517,Ambulance response time complaint,The hospital ward toilets are in bad condition and attendants are forced to go outside. Requesting maintenance staff be assigned. We request a monthly specialist visit to the PHC in Kotehalli. Elderly patients travel two buses for a five-minute consultation now. The road in front was repaired last year so at least that is fine. Please escalate to higher officials.,facebook,Devgiri,first_time,healthcare|routine
G100035,Road dug up and left open for over two months,"Sir/Madam, Streetside vendors and parked lorries have taken over the footpath near MG layout. We request the authorities to clear the encroachment and mark parking properly. We request speed breakers near the school road in MG layout. Vehicles pass fast during school hours and parents are worried. Kindly sanction it in the coming works. Everything is urgent for officials only when TV cameras come. The previous complaint number I was given never got a response. Please treat this as top priority.",whatsapp,Rampura,repeat_complaint,roads_transport|routine
G101981,Long pending issue,"Sir namaste, A main pipeline near Gandhi colony has been leaking since last week, paani flowing on the sadak daily. Requesting repair before the summer scarcity months. The paani coming in our taps is brown and smells of sewage, and twelve log from the old market area including small children are admitted with vomiting and loose motions since yesterday. Stop this supply immediately before more fall sick. This has nothing to do with the school, the children are managing. Please escalate to higher officials. Kripya dhyan dijiye, bahut urgent hai.",field_visit,Krishnapura,first_time,water_supply|routine
G102227,No response from officials,"Sir ji, The co-op society has had no urea stock for two weeks in peak season. Private dealers sell the same bag at almost double with forced extra items. The rasta in front was repaired last year so at least that is fine. The whole colony is waiting.",facebook,Krishnapura,repeat_complaint,agriculture_irrigation|high
G100950,Problem getting worse daily,"Sir namaskara, What arrives in our pipes for one hour every fourth day is barely enough. We request the department to revise the supply schedule for our layout. Tumba tondare aagide, bega action togoli.",janata_darshan,Devgiri,first_time,water_supply|routine
G106001,Very urgent matter,"Namaskara sir, Our colony in Devgiri has not received drinking water for over two months. Women are walking to the next halli to fetch neeru while the gram sevak gives new dates every week. We are suffering a lot. Namma colony jana kayta iddare.",whatsapp,Ambalpet,first_time,water_supply|high
G103899,Request for immediate action,"Sanmanya sir, A trench dug for cable work near Gandhi colony has been left open without any barricade. Last ratri a two-wheeler rider fell in and is in aspatre with head injuries. The next fall could kill someone. There is no proper bus connectivity from Devgiri to the taluk centre. Students and workers wait an hour for one overcrowded private vehicle. The MLA promised action on this before the elections but nothing happened. Kindly do the needful. Namma colony jana kayta iddare.",field_visit,Chandpur,escalated,roads_transport|critical
G105348,Road dug up and left open for the past month,"Namaste, Ambulances refuse to enter our lane because of the condition of the stretch between the temple and the old market area. Yesterday an elderly patient had to be carried on a cot to the highway. The road in front was repaired last year so at least that is fine. Please escalate to higher officials.",whatsapp,Malligere,repeat_complaint,roads_transport|critical
G106766,Teacher shortage at the government school,"Sir/Madam, The girls' high school has no functional toilet, and attendance of older girls is dropping every month. Parents are quietly pulling daughters out. Kindly do the needful.",janata_darshan,Devgiri,repeat_complaint,education|high
G103421,Ambulance response itme complaint,"Namaskara sir, We request a monthly specialist visit to the PHC in Krishnapura. Elderly patients travel two buses for a five-minute consultation now. Our ration shop works fine, this is a different matter. Please take immediate action. Tumba tondare aagide, bega action togoli.",whatsapp,Chandpur,first_time,healthcare|routine
G104752,Dangerous wires near houses,We request shifting of the electric pole standing in the middle of the approach road to ward 4. It was to be moved during the road widening but was left as is. The road in front was repaired last year so at least that is fine. We are suffering a lot.,field_visit,Ambalpet,first_time,electricity|routine
G102331,Nobody is listening to us,"Dear team, The overhead tank motor burnt out and nobody has repaired it. The tanker promised as an alternative comes once in four days and fights break out at the queue. Please treat this as top priority.",facebook,Krishnapura,repeat_complaint,water_supply|high
G106446,Kindly look into this,"Pranam sir, The standing paddy of the whole tail-end belt of Devgiri will be dead within this week if the reservoir release is not given now. The gates are with the department; one order can still save this season for 200 families. The rasta in front was repaired last year so at least that is fine. The previous shikayat number I was given never got a response. Please take immediate action.",whatsapp,Sundarnagar,escalated,agriculture_irrigation|critical
G101049,Crop loss from stray cattle,"Namaskara sir, My pumpset subsidy application with all documents has been moving between two offices for over two months. Kindly tell me where the file is and what remains. Please treat this as top priority. Tumba tondare aagide, bega action togoli.",janata_darshan,Devgiri,first_time,agriculture_irrigation|routine
G102387,Urgent problem in our area,"Sir namaskara, We request speed breakers near the school rasthe in ward 11. Vehicles pass fast during school hours and parents are worried. Kindly sanction it in the coming works. neeru supply here is otherwise okay, that is not the samasye. If nothing happens we will raise it in the gram sabha again. This is tumba urgent.",facebook,Malligere,first_time,roads_transport|routine
G102397,Pipeline burst flooding the street,"Namaskara sir, Our colony in Devgiri has not received drinking neeru since the rains started. Women are walking to the next halli to fetch water while the panchayat office gives new dates every week. A main pipeline near the old market area has been leaking for the past month, neeru flowing on the road daily. Requesting repair before the summer scarcity months. If nothing happens we will raise it in the gram sabha again. The raste in front was repaired last year so at least that is fine. Kindly do the needful. Daya vittu sahaya madi sir.",facebook,Krishnapura,first_time,water_supply|high
G105868,Maternity ward staffing at night,"Namaste, Half the children in our anganwadi have the same rash and high fever, and it is spreading house to house in Ashraya layout. The PHC nurse says wait for the visiting doctor next week. We cannot wait. We are not asking about the pension, that is coming properly. Please help us.",helpline_call,Rampura,repeat_complaint,healthcare|critical
G100698,Fertilizer shortage at the co-op society,The standing paddy of the whole tail-end belt of Krishnapura will be dead within this week if the reservoir release is not given now. The gates are with the department; one order can still save this season for 200 families. Please take immediate action.,facebook,Sundarnagar,repeat_complaint,agriculture_irrigation|critical
G105447,Appeal to the wra room,"Dear team, The hospital ward toilets are in bad condition and attendants are forced to go outside. Requesting maintenance staff be assigned. The road in front was repaired last year so at least that is fine. We are suffering a lot.",helpline_call,Kotehalli,first_time,healthcare|routine
G101713,Borewell subsidy application stuck,"Namaskara sir, farmers of Kotehalli who lost their crop in the unseasonal rains have not received the insurance settlement for the past month. The survey was done, photos taken, and then silence. Loan recovery notices have started coming. We are suffering a lot.",janata_darshan,Ambalpet,repeat_complaint,agriculture_irrigation|high
G105568,Second time complaining,"Sanmanya sir, The girls' high school has no functional toilet, and attendance of older girls is dropping every month. Parents are quietly pulling daughters out. Students who applied for the post-matric scholarship have not received the amount since yesterday. Poor families borrowed for fees expecting it; some makkalu may drop out this term. Many of us voted with a lot of hope last time. This is tumba urgent. Daya vittu sahaya madi sir.",facebook,Krishnapura,first_time,education|high
G104727,Inflated electricity bills this month,"Sir/Madam, The pole outside our house sparks loudly and threw flames in last night's drizzle. The lineman says ""log a complaint"". One spark on the thatched roofs here and the whole row of houses will burn. The MLA promised action on this before the elections but nothing happened. Unlike the power cuts which stopped, this issue continues. Kindly do the needful.",helpline_call,Rampura,repeat_complaint,electricity|critical
G106133,Safety of girls near the college gate,"Our neighbour has openly threatened to burn our shop tonight over a land dispute, and the station is refusing to note it down, calling it a ""family matter"". If something happens tonight the responsibility is on record now. The previous complaint number I was given never got a response. Kindly do the needful.",whatsapp,Chandpur,first_time,law_and_order|critical
G103064,No response from officials,"The water coming in our taps is brown and smells of sewage, and twelve janaru from the weavers’ colony including small makkalu are admitted with vomiting and loose motions since yesterday. Stop this supply immediately before more fall sick. Hoping for quick action.",field_visit,Kotehalli,first_time,water_supply|critical
G101008,Very urgent matter,"Sanmanya sir, The soil-testing van taht was to visit Kotehalli never came, and the support price ecntre opens late each season. Requesting both be scheduled properly this year. Please take immediate action. Bega parihara madi, tumba urgent ide.",whatsapp,Devgiri,first_time,agriculture_irrigation|routine
G101227,Request for immediate action,"Namaskar, The bridge near ward 7 has developed wide cracks and buses full of school bacche still cross it daily. Engineers came, took photos, and left. It can give way any day. This is bahut urgent. Jaldi se jaldi madad kijiye sir.",helpline_call,Devgiri,escalated,roads_transport|critical
G102362,Name missing from beneficiary list,"My neighbour, a widow, was rejected for the pension saying her husband's death certificate has a one-letter name mismatch. Please guide which office corrects this. The whole colony is waiting. Tumba tondare aagide, bega action togoli.",janata_darshan,Kotehalli,first_time,welfare_schemes|routine
G100494,Police not registering our complaint,"Namaskar, We went to the station about our neighbour's abusive behaviour and were told to ""settle it among yourselves"". We request guidance on filing it properly. The gambling den behind the market in Malligere runs till late and young boys from our colony have started going there. Requesting it be shut down. Everything is urgent for officials only when TV cameras come. Please escalate to higher officials. Hum garib logon ki koi nahi sunta.",whatsapp,Malligere,first_time,law_and_order|routine
G106519,Problem getting worse daily,"Sir namaskara, Canal neeru never reaches the tail-end fields of Gandhi colony. Upstream farms take everything and the outlet gates are broken. Our crop is drying while we watch. Police did visit once but this doora is not about them. Please treat this as top priority. Daya vittu sahaya madi sir.",field_visit,Rampura,escalated,agriculture_irrigation|high
G103748,Old-age pension stopped without reason,"Respected sir, My neighbour, a widow, was rejected for the pension saying her husband's death certificate has a one-letter name mismatch. Please guide which office corrects this. If nothing happens we will raise it in the gram sabha again. We are suffering a lot.",field_visit,Chandpur,escalated,welfare_schemes|routine
G105218,Kindly look into this,"Sir ji, We request a monthly specialist visit to the PHC in Krishnapura. Elderly patients travel two buses for a five-minute consultation now. The government hospital pharmacy says BP and diabetes medicines are out of stock ofr three din now. Poor patients are skipping doses because private prices are unaffordable. Last time they acted only after someone nearly died, must it come to that? We are suffering a lot. Kripya dhyan dijiye, bahut urgent hai.",helpline_call,Malligere,first_time,healthcare|routine
G100650,Canal water not reaching tail-end farms,"Farmers of Devgiri who lost their crop in the unseasonal rains have not received the insurance settlement for three days now. The survey was done, photos taken, and then silence. Loan recovery notices have started coming. Please help us.",whatsapp,Kotehalli,first_time,agriculture_irrigation|high
G102058,No doctor at the PHC for three days now,"Namaskar, The hospital ward toilets are in bad condition and attendants are forced to go outside. Requesting maintenance staff be assigned. Half the bachche in our anganwadi have the same rash and high fever, and it is spreading ghar to house in Gandhi colony. The PHC nurse says wait for the visiting doctor next week. We cannot wait. We are suffering a lot. Kripya dhyan dijiye, bahut urgent hai.",helpline_call,Chandpur,first_time,healthcare|routine
G100145,Housing scheme installment not released,"Pranam sir, Our names were on the list at the grma sevak last year, but this month the dealer says our numbers no longer show in his machine. Ten families are affected in the bus stand circle. Please escalate to higher officials. Bahut pareshani ho rahi hai, kripya jaldi karvai kijiye.",helpline_call,Malligere,first_time,welfare_schemes|high
G100015,Scholarship amount not credited to students,The computer lab inaugurated with much fanfare has been locked for over two months because there is nobody to teach and no electricity connection for the machines. If nothing happens we will raise it in the gram sabha again.,whatsapp,Kotehalli,repeat_complaint,education|routine
G102956,"Transformer burnt since last week, no replacement","Pranam sir, This month's bills are three to four times the usual amount for every ghar in our lane. The meter reader never actually visits; readings are invented. Please audit and correct. We face unscheduled bijli cuts of 6 to 8 hours daily in Sundarnagar since last week. Students cannot study for exams and small businesses running on machines are shutting for the day. Many of us voted with a lot of hope last time. We are suffering a lot. Hum garib logon ki koi nahi sunta.",whatsapp,Devgiri,first_time,electricity|routine
G105520,Long pending issue,"The hospital ward toilets are in bad condition and attendants are forced to go outside. Requesting maintenance staff be assigned. Our ration shop works fine, this is a different matter. bega action togoli us.",whatsapp,Rampura,first_time,healthcare|routine
G103832,Second time complaining,"Sir namaskara, Every monsoon the same stretch in the old market area becomes impossible to cross, and this year it has already caused two accidents. The contractor vanished midway. Our ration shop works fine, this is a different matter. Please escalate to higher officials.",janata_darshan,Rampura,escalated,roads_transport|high
G105035,Second time complaining,"Sanmanya sir, Half the makkalu in our anganwadi have the same rash and high fever, and it is spreading mane to house in the lake road side. The PHC nurse says wait for the visiting doctor next week. We cannot wait. bega action togoli us.",janata_darshan,Sundarnagar,escalated,healthcare|critical
G102533,Old-age pension tsopped without erason,"Sir namaskara, The second installment of the housing scheme has not been released though the walls are complete and photos were uploaded. The half-built mane is soaking in rain and the family is in a rented shed. The rasthe in front was repaired last year so at least that is fine. Please escalate to higher officials. Daya vittu sahaya madi sir.",helpline_call,Krishnapura,first_time,welfare_schemes|high
G104117,Chain snatching incidents in the bus stand circle,"Sir namaskara, The men gathering near the college gate followed two girls to their homes yesterday shouting threats. Parents are keeping daughters home from classes statring today. This needs police presence this evening, not next week. Last time they acted only after someone nearly died, must it come to that? The hwole colony is waiting.",facebook,Krishnapura,escalated,law_and_order|critical
G101225,Power cuts of 6+ hours daily in Chandpur,"Dear team, Low-hanging live wires near ward 4 are at head height after the storm. A buffalo was electrocuted yesterday evening; children walk under the same line to school every morning. Street lights in ward 4 have not been working since last week. We request replacement of the fused lights before the festival season. Water supply here is otherwise okay, that is not the problem. Kindly do the needful.",facebook,Ambalpet,escalated,electricity|critical
G104624,Widow pension rejected wrongly,"I want to add my newborn daughter's name to our ration card and seed aadhaar for the scholarship. The portal keeps failing at the OTP step. My mother's old-age pension stopped coming since yesterday with no notice. It is her only income and she lives alone. the local corporator says ""verification issue"" but cannot say what document is missing. This is very urgent.",helpline_call,Rampura,first_time,welfare_schemes|routine
G104221,Very urgent matter,"The sanction letter for the mane support came four months ago but the first stage amount is still ""processing"". Kindly check where the file is held up. My mother's old-age pension stopped coming for six months with no notice. It is her only income and she lives alone. the panchayat office says ""verification issue"" but cannot say what document is missing. Our ration shop works fine, this is a different matter. We are suffering a lot.",facebook,Ambalpet,first_time,welfare_schemes|routine
G105245,Second time complaining,"We request a monthly specialist visit to the PHC in Rampura. Elderly patients travel two buses for a five-minute consultation now. This has nothing to do with the school, the children are managing. This is very urgent.",whatsapp,Kotehalli,repeat_complaint,healthcare|routine
G106038,Crop loss from stray cattle,"Respected sir, Stray cattle damaged part of my paddy and the compensation process needs many documents and visits. Requesting a simpler camp-based process in our hobli. If nothing happens we will raise it in the gram sabha again. Kindly do the needful.",whatsapp,Devgiri,escalated,agriculture_irrigation|routine
G102564,Medicines out of stock at government hospital,"Sir ji, Half the bachche in our anganwadi have the same rash adn high fever, and it is spreading ghar to ghar in ward 11. The PHC nurse says wait for the visiting doctor next week. We cannot wait. My father had chest pain at midnight and the ambulance took nearly three hours. He is stable by God's grace, but there is still no ambulance stationed within 30 km of Kotehalli. The next emergency will end differently. We are not asking about the pension, that is coming properly. Hoping for quick action. Hum garib logon ki koi nahi sunta.",field_visit,Devgiri,repeat_complaint,healthcare|critical
G104721,No toilets for girls at the high school,"Hello, A big chunk of the classroom ceiling in the ward 4 primary school fell during class hours yesterday, missing the children by a few feet. Classes are still being held in the same room because there is nowhere else. Close that room today itself. The government school in Krishnapura has just two teachers handling six classes. Maths and science have had no dedicated teacher since last week. Board exam students are suffering the most. Please escalate to higher officials.",janata_darshan,Ambalpet,first_time,education|critical
G104625,"Footpath encroached, pedestirans on the road","Sir ji, School vans have stopped entering MG layout entirely. Parents now walk bacche 2 km because no vehicle can pass the stretch after the pipeline work. Unlike the power cuts which stopped, this issue continues. Please escalate to higher officials.",whatsapp,Sundarnagar,repeat_complaint,roads_transport|high
G101922,Ration card application pending since last week,"Namaskar, My neighbour, a widow, was rejected for the pension saying her husband's death certificate has a one-letter name mismatch. Please guide which office corrects this. Jaldi se jaldi madad kijiye sir.",whatsapp,Chandpur,first_time,welfare_schemes|routine
G106702,Pipeline burst flooding the street,"Hello, A main pipeline near the bus stand circle has been leaking for three days now, water flowing on the road daily. Requesting repair before the summer scarcity months. The previous complaint number I aws given never got a response. Please take immediate action.",helpline_call,Kotehalli,first_time,water_supply|routine
G100362,Problem getting worse daily,"A main pipeline near ward 7 has been leaking for three days now, pani flowing on hte road daily. Requesting repair before the summer scarcity months. The rasta in front was repaired last year so at least that is fine. Hoping for quick action.",helpline_call,Kotehalli,first_time,water_supply|routine
G104056,Water quality complaint from resdients,"Namaste, What arrives in our pipes for one hour every fourth day is barely enough. We request the department to revise the supply schedule for our layout. Hoping for quick action.",facebook,Ambalpet,first_time,water_supply|routine
G105716,Maternity ward staffing at night,"Hello, Pregnant women from ward 7 are being turned away at night because nobody senior is on duty. Two deliveries happened in autos on the way to the district centre this month. A tragedy is waiting. We request a monthly specialist visit to the PHC in Devgiri. Elderly patients travel two buses for a five-minute consultation now. Last time they acted only after someone nearly died, must it come to that? Many of us voted with a lot of hope last time. Hoping for quick action.",field_visit,Chandpur,escalated,healthcare|critical
G105728,Request for immediate action,"Hello, The gambling den behind the market in Malligere runs till late and young boys from our colony have started going there. Requesting it be shut down. Please escalate to higher officials.",janata_darshan,Malligere,repeat_complaint,law_and_order|routine
G106138,Crop insurnace cliam not settled for over two months,The co-op society has had no urea stock for two weeks in peak season. Private dealers sell the same bag at almost double with forced xetra items. Kindly do the needful.,field_visit,Sundarnagar,repeat_complaint,agriculture_irrigation|high
G105282,Request for immediate action,"Sanmanya sir, Dengue cases are rising in Gandhi colony but no fogging or larvae inspection has happened. Stagnant neeru everywhere after the rains. neeru supply here is otherwise okay, that is not the tondare. Please escalate to higher officials. Bega parihara madi, tumba urgent ide.",facebook,Ambalpet,repeat_complaint,healthcare|high
G103001,Long pending issue,The second installment of the housing scheme has not been released though the walls are complete and photos were uploaded. The half-built mane is soaking in rain and the family is in a rented shed. Please treat this as top priority. Daya vittu sahaya madi sir.,helpline_call,Ambalpet,escalated,welfare_schemes|high
G103902,Appeal to the war room,"Sir namaskara, The government school in Rampura has just two teachers handling six classes. Maths and science have had no dedicated teacher since last week. Board exam students are suffering the most. Many of us voted with a lot of hope last time. Our ration shop works fine, this is a different matter. Kindly do the needful. Bega parihara madi, tumba urgent ide.",field_visit,Krishnapura,first_time,education|high
G102288,Problme getting wores daily,"Sir namaskara, We request speed breakers near the school rasthe in ward 11. Vehicles pass fast during school hours and parents are worried. Kindly sanction it in the coming works. The main rasthe through the lake rasthe side in Chandpur is full of potholes since the festival. Two-wheeler riders are falling daily and the gram sevak keeps saying the tender is pending. This is very urgent.",field_visit,Malligere,first_time,roads_transport|routine
